Faculty;Programme Name;APS Requirement;Subject Requirements;Page Number
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Economics [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Law [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Statistics and Data Science [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Information Systems [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Agribusiness Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Business Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Supply Chain Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Marketing Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;7
Faculty of Economic and Management Sciences;Bachelor of Administration specialising in Public Administration [3 years];28;English Home Language OR English First Additional Language OR English 5 AND Mathematics 3 OR Mathematical Literacy 4;7
Faculty of Economic and Management Sciences;Bachelor of Commerce in Accounting Sciences [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Investment Management [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Financial Management Sciences [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Econometrics [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Human Resource Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;8
Faculty of Economic and Management Sciences;Bachelor of Commerce [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;8
Faculty of Economic and Management Sciences;Bachelor of Commerce [4 years];26;English Home Language OR English First Additional Language OR English 4 AND Mathematics 3;8
Faculty of Education;Bachelor of Education in Early Childhood Care and Education [4 years];28;English Home Language OR English First Additional Language OR English 4;8
Faculty of Education;Bachelor of Education in Foundation Phase Teaching [Grade R to Grade 3] [4 years];28;English Home Language OR English First Additional Language OR English 4;8
Faculty of Education;Bachelor of Education in Intermediate Phase Teaching [Grades 4 to 6] [4 years];28;English Home Language OR English First Additional Language OR English 4;8
Faculty of Education;Bachelor of Education in Senior Phase and Further Education and Training Teaching [Grades 7 to 12] [4 years];28;English Home Language OR English First Additional Language OR English 4;8
Faculty of Education;Higher Certificate in Sports Sciences [1 year];20;English Home Language OR English First Additional Language OR English 4;8
Faculty of Education;Higher Certificate in Sports Sciences [2 years];20;English Home Language OR English First Additional Language OR English 4;8
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering in Electrical Engineering [4 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 6;9
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering in Electronic Engineering [4 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 6;9
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering in Industrial Engineering [4 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 6;9
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering in Mechanical Engineering [4 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 6;9
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering in Metallurgical Engineering [4 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 6;9
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering in Mining Engineering [4 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 6;9
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering in Chemical Engineering [4 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 6;9
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering in Civil Engineering [4 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 6;9
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering in Computer Engineering [4 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 6;9
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Engineering [5 years];33;English Home Language OR English First Additional Language OR English 5 AND Mathematics 65% AND Physical Sciences 65%;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Commerce specialising in Information Systems [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Information Science [3 years];28;English Home Language OR English First Additional Language OR English 4 ;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Information Science specialising in Publishing [3 years];28;English Home Language OR English First Additional Language OR English 5 ;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Information Science specialising in Multimedia** [3 years];30;English Home Language OR English First Additional Language OR English 4 AND Mathematics 5;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Information Technology in Information Systems [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Science in Computer Science [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Science in Information Technology in Information and Knowledge Systems [3 years];30;English Home Language OR English First Additional Language OR English 4 AND Mathematics 6;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Science in Architecture [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4 AND Physical Sciences 4;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Science in Construction Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 4 OR  Accounting 4;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Science in Real Estate [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 4 OR Accounting 4;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Science in Quantity Surveying [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 4 OR Accounting 4;10
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Town and Regional Planning [4 years];27;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;10
Faculty of Health Sciences;Bachelor of Dental Surgery [5 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 5;11
Faculty of Health Sciences;Bachelor of Oral Hygiene [3 years];25;English Home Language OR English First Additional Language OR English 4 AND Mathematics 4 AND Physical Sciences 4;11
Faculty of Health Sciences;Bachelor of Dietetics [4 years];28;English Home Language OR English First Additional Language OR English 4 AND Mathematics 4 AND Physical Sciences 4;11
Faculty of Health Sciences;Bachelor of Nursing Science [4 years];28;English Home Language OR English First Additional Language OR English 4 AND Mathematics 4 AND Life Sciences 4;11
Faculty of Health Sciences;Bachelor of Occupational Therapy [4 years];30;English Home Language OR English First Additional Language OR English 4 AND Mathematics 4 AND Physical Sciences 4;11
Faculty of Health Sciences;Bachelor of Physiotherapy [4 years];30;English Home Language OR English First Additional Language OR English 4 AND Mathematics 4 AND Physical Sciences 4;11
Faculty of Health Sciences;Bachelor of Radiography in Diagnostics [4 years];30;English Home Language OR English First Additional Language OR English 4 AND Mathematics 4 AND Physical Sciences 4;11
Faculty of Health Sciences;Bachelor of Clinical Medical Practice [Also referred to as BCMP] [3 years];28;English Home Language OR English First Additional Language OR English 4 AND Mathematics 4 AND Physical Sciences 4 OR Life Sciences 4;11
Faculty of Health Sciences;Bachelor of Medicine and Surgery [Also referred to as MBChB] [6 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6 AND Physical Sciences 5;11
Faculty of Health Sciences;Bachelor of Sports Science [3 years];30;English Home Language OR English First Additional Language OR English 4 AND Mathematics 4 AND Physical Sciences 4 OR Life Sciences 4;11
;;;;11
Faculty of Humanities ;Bachelor of Arts in Information Design [4 years];30;English Home Language OR English First Additional Language OR English 5;12
Faculty of Humanities ;Bachelor of Arts [3 years];30;English Home Language OR English First Additional Language OR English 5;12
Faculty of Humanities ;Bachelor of Social Work [4 years];30;English Home Language OR English First Additional Language OR English 5;12
Faculty of Humanities ;Bachelor of Arts specialising in Law [3 years];34;English Home Language OR English First Additional Language OR English 5;12
Faculty of Humanities ;Bachelor of Arts specialising in Languages [3 years];30;English Home Language OR English First Additional Language OR English 5;12
Faculty of Humanities ;Bachelor of Social Science specialising in Industrial Sociology and Labour Studies [3 years];30;English Home Language OR English First Additional Language OR English 5;12
Faculty of Humanities ;Bachelor of Social Science in Heritage and Cultural Sciences* [Option: Heritage and Cultural Tourism] [3 years];30;English Home Language OR English First Additional Language OR English 5;12
Faculty of Humanities ;Bachelor of Arts in Speech-Language Pathology [4 years];32;Mathematics 4 AND English Home Language OR English First Additional Language 5;12
Faculty of Humanities ;Bachelor of Arts in Audiology [4 years];32;Mathematics 4 AND English Home Language OR English First Additional Language 5;12
Faculty of Humanities ;Bachelor of Music [4 years];30;4 (50-59%)or Grade VII Practical and Grade V Theory (Unisa/Royal Schools/Trinity) or a comparable standard and Practical audition and theoretical test passed with 60% AND English Home Language OR English First Additional Language OR English 5;13
Faculty of Humanities ;Bachelor of Music [5 years];26;4 (50-59%) or Grade V Practical and Grade III Theory (Unisa/ Royal Schools/ Trinity) or a comparable standard and Practical audition and theoretical test passed with 50% AND English Home Language OR English First Additional Language OR English 4;13
Faculty of Humanities ;Bachelor of Drama [3 years];30;English Home Language OR English First Additional Language OR English 5;13
Faculty of Humanities ;Bachelor of Drama [4 years];26;English Home Language OR English First Additional Language OR English 4;13
Faculty of Humanities ;Bachelor of Arts specialising in Philosophy, Politics and Economics [3 years];32;Mathematics 5 AND English Home Language OR English First Additional Language OR English 5;13
Faculty of Humanities;Bachelor of Political Science specialising in International Studies [3 years];30;English Home Language OR English First Additional Language OR English 5;13
Faculty of Humanities ;Bachelor of Political Science specialising in Political Studies [3 years];30;English Home Language OR English First Additional Language OR English 5;13
Faculty of Humanities ;Bachelor of Arts in Fine Arts [4 years];30;English Home Language OR English First Additional Language OR English 5;13
Faculty of Humanities ;Bachelor of Arts in Fine Arts [5 years];26;English Home Language OR English First Additional Language OR English 4;13
Faculty of Humanities ;Bachelor of Arts specialising in Visual Studies [3 years];30;English Home Language OR English First Additional Language OR English 5;13
Faculty of Law ;Bachelor of Laws [Also referred to as LLB] [4 years];35;English Home Language OR English First Additional Language OR English 6;14
Faculty of Law ;Bachelor of Arts specialising in Law [Also referred to as BA (Law)] [3 years];34;English Home Language OR English First Additional Language OR English 5;14
Faculty of Law ;Bachelor of Commerce specialising in Law [Also referred to as BCom (Law)] [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;14
Faculty of Theology and Religion;Bachelor of Theology [3 years];28;English Home Language OR English First Additional Language OR English 4;14
Faculty of Theology and Religion;Bachelor of Divinity [4 years];28;English Home Language OR English First Additional Language OR English 4;14
Faculty of Theology and Religion;Diploma in Theology [3 years];24;English Home Language OR English First Additional Language OR English 3;14
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Agriculture in Applied Plant and Soil Sciences [4 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;15
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Agriculture in Plant Pathology [4 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;15
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Food Management Option: Culinary Science [4 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;15
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Food Management Option: Nutritional Science [4 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;15
;;;;15
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Agriculture in Agricultural Economics in Agribusiness Management [4 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;15
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Agriculture in Animal Science [4 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;15
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Food Science [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Genetics Bachelor of Science in Human Genetics [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Human Physiology Bachelor of Science in Human Physiology, Genetics and Psychology [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Medical Sciences [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Microbiology [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Plant Science [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Zoology [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Biochemistry [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Biotechnology [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Ecology [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Entomology [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;16
Faculty of Natural and Agricultural Sciences;Bachelor of Consumer Science specialising in Clothing Retail Management [4 years];28;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;17
Faculty of Natural and Agricultural Sciences;Bachelor of Consumer Science specialising in Food Management [4 years];28;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;17
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Mathematical Statistics [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6;17
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Actuarial and Financial Mathematics [3 years];36;English Home Language OR English First Additional Language OR English 5 AND Mathematics 7;17
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Mathematics Bachelor of Science in Applied Mathematics [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6;17
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Chemistry [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;17
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Environmental and Engineering Geology [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;17
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Geography Option: Geography and Environmental Science [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;18
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Geoinformatics [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;18
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Geology [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;18
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Meteorology [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;18
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Physics [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;18
Faculty of Natural and Agricultural Sciences;Bachelor of Science in Mathematics;32;English Home Language OR English First Additional Language OR English 58% AND Mathematics 65% ;18
Faculty of Natural and Agricultural Sciences;Bachelor of Science in:  Chemistry, Geoinformatics, Geology, Meteorology, Physics;32;English Home Language OR English First Additional Language OR English 58% AND Mathematics 58% AND Physical Sciences 58%;18
Faculty of Natural and Agricultural Sciences;Bachelor of Science in:  Agriculture in Applied Plant and Soil Sciences, Agriculture in Plant Pathology, Ecology, Human Physiology;30;English Home Language OR English First Additional Language OR English 58% AND Mathematics 58% AND Physical Sciences 58%;18
Faculty of Veterinary Science;Bachelor of Veterinary Science [6 years];35;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5 AND Physical Sciences 5;19
Faculty of Veterinary Science;Bachelor of Veterinary Nursing [3 years];28;English Home Language OR English First Additional Language OR English 4 AND Mathematics 4 AND Physical Sciences OR Life Sciences 4;19