Faculty;Programme;Academic_Plan_Code;SAQA_ID;NQF_Level;Qualification_Type;Duration_Years;Campus;Min_APS;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection;Special_Notes;Source;;;
APS SYSTEM NOTE;;;;;;;;"SPU uses a MODIFIED and UNIQUE APS system that differs from most SA universities. Base points: 8 for 90–100%, 7 for 80–89%, 6 for 70–79%, 5 for 60–69%, 4 for 50–59%, 3 for 40–49%, 2 for 30–39%, 1 for 0–29%. BONUS POINTS (added on top of base): +2 for Mathematics (pure) at 60%+ (Level 5+); +1 for Mathematics at 50–59% (Level 4) or 40–49% (Level 3). LANGUAGE BONUS: +2 for any official language taken as Home Language (HL) at Level 5+; +1 at Level 4 or Level 3. LIFE ORIENTATION EARNS POINTS: 4 pts for 90–100%, 3 for 80–89%, 2 for 70–79%, 1 for 60–69%, 0 for below 60%. This means the SPU maximum APS is considerably higher than the standard 42-point maximum. KEY: The APS minimums listed per programme reflect the SPU-calculated score (with bonuses included), not a standard 7-point scale total. Single campus: Kimberley, Northern Cape. Applications via CAO. LOLT (Language of Learning and Teaching) is English — all programmes require English HL L4 or FAL L5.";;;;;;;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;;;;
Faculty of Education;Bachelor of Education — Foundation Phase Teaching (Grade R–3);EDU720;119582;7;Bachelor's Degree;4;Kimberley;30 (Bachelor's route) / 25 + ECD L5 (Diploma/Cert route);English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 3;Yes — Mathematical Literacy NSC Level 4 accepted;Not required;Not required;SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 OR isiXhosa HL/FAL L4 required in addition to English. Certificate/Diploma route requires APS 25 PLUS SAQA-accredited ECD Level 5 qualification;No;Two admission routes: (1) Bachelor's endorsement + APS 30;(2) Certificate or Diploma endorsement + APS 25 + SAQA-accredited ECD Level 5 qualification. Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Intermediate Phase Teaching: Languages, Mathematics, Natural Science and Technology (Grades 4–6);EDU723;99722;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 4 (compulsory);No — Mathematical Literacy NOT accepted for this specialisation;Life Sciences NSC Level 4 (compulsory);Physical Sciences NSC Level 4 (compulsory);SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 OR isiXhosa HL/FAL L4 required;Maths L4 + Physical Sciences L4 + Life Sciences L4 ALL compulsory;No;All three science/maths subjects are compulsory — no subject waivers. Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Intermediate Phase Teaching: Languages, Social Sciences and Life Skills (Grades 4–6);EDU724;99722;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2 OR Mathematical Literacy NSC Level 3;Yes — Mathematical Literacy accepted;Not required;Not required;SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 OR isiXhosa HL/FAL L4 required;PLUS one of: Geography NSC Level 4 OR History NSC Level 4;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Senior and FET Phase Teaching: Life Sciences, Natural Sciences and Mathematics (Grades 7–12);EDU740;96406;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 4 (compulsory);No — Mathematical Literacy NOT accepted for this specialisation;Life Sciences NSC Level 4 (compulsory);Not required (Physical Sciences recommended);Bachelor's Degree endorsement;Maths L4 AND Life Sciences L4 both compulsory;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Senior and FET Phase Teaching: Languages OR Language and History (Grades 7–12);EDU741;96406;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2 OR Mathematical Literacy NSC Level 3;Yes — Mathematical Literacy accepted;Not required;Not required;SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 required;If History selected as elective: History NSC Level 4 required;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Senior and FET Phase Teaching: History, Social Sciences and Language (Grades 7–12);EDU742;96406;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2 OR Mathematical Literacy NSC Level 3;Yes — Mathematical Literacy accepted;Not required;Not required;SECOND LANGUAGE (one of): Afrikaans HL/FAL L4 OR Setswana HL/FAL L4 required;Geography NSC Level 4 AND History NSC Level 4 BOTH compulsory;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Bachelor of Education — Senior and FET Phase Teaching: Accounting, Economics, Business Studies and Economic Management Sciences (Grades 7–12);EDU743;96406;7;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2 OR Mathematical Literacy NSC Level 3;Yes — Mathematical Literacy accepted;Not required;Not required;Bachelor's Degree endorsement;ANY TWO of: Accounting NSC Level 4 OR Business Studies NSC Level 4 OR Economics NSC Level 4;No;Eligible for Funza Lushaka Bursary;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Education;Postgraduate Certificate in Education (PGCE);N/A;119074;7;Postgraduate Certificate;1;Kimberley;N/A — postgraduate entry;English proficiency as per prior degree/diploma;N/A — entry based on prior qualification;N/A;N/A;N/A;Entry requires: Approved Bachelor's degree at NQF Level 7 OR appropriate 360-credit exit NQF Level 6 Diploma;must include two recognised school subjects — one as a FET major (48+ credits NQF L7 over 2–3 years) and one as SP subject (24+ credits NQF L6 over one year);Yes;Full-time; face-to-face and online lectures on SPU campus compulsory;10 weeks compulsory teaching practice in Kimberley schools. FET and SP teaching subjects available — see prospectus for full list;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf
Faculty of Economic and Management Sciences;Bachelor of Commerce in Accounting;N/A;118404;7;Bachelor's Degree;3;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 5 OR (Mathematics NSC Level 4 AND Accounting NSC Level 3);No — Mathematical Literacy NOT accepted;Not required;Not required;Bachelor's Degree endorsement;Accounting L3 can substitute for Maths L5 if Maths L4 is achieved;No;Two maths routes: (1) Maths L5 alone;or (2) Maths L4 + Accounting L3. RPL applicable per university policy;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;
Faculty of Economic and Management Sciences;Bachelor of Commerce in Economics;N/A;118906;7;Bachelor's Degree;3;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 5 OR (Mathematics NSC Level 4 AND Economics/Business Studies NSC Level 3);No — Mathematical Literacy NOT accepted;Not required;Not required;Bachelor's Degree endorsement;Economics or Business Studies L3 can substitute for Maths L5 if Maths L4 is achieved;No;Two maths routes: (1) Maths L5 alone;or (2) Maths L4 + Economics/Business Studies L3. RPL applicable;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;
Faculty of Economic and Management Sciences;Diploma in Retail Business Management;N/A;93648;6;Diploma;3;Kimberley;25;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 3;Yes — Mathematical Literacy NSC Level 5 accepted;Not required;Not required;Diploma endorsement;AT LEAST ONE of: Accounting NSC Level 4 OR Business Studies NSC Level 4 OR Economics NSC Level 4;No;MathLit accepted at L5 (higher threshold than Maths L3 route). RPL applicable;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Economic and Management Sciences;Advanced Diploma in Management;N/A;108875;7;Advanced Diploma;1;Kimberley;N/A — postgraduate entry;Proficiency as per prior Diploma/degree;N/A — entry based on prior qualification;N/A;N/A;N/A;Entry requires: Relevant NQF Level 6 Diploma or Bachelor's degree; subjects related to management;average of at least 60% in the qualifying qualification;No;Offered in evenings; hybrid teaching model (online and contact). RPL applicable;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf
Faculty of Economic and Management Sciences;Higher Certificate in Entrepreneurship;N/A;123433;5;Higher Certificate;1;Kimberley;25;English HL/LOLT: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 3;Yes — Mathematical Literacy NSC Level 4 accepted;Not required;Not required;Higher Certificate or Diploma endorsement (NSC L4 or NCV L4);AT LEAST ONE of: Accounting NSC Level 3 OR Business Studies NSC Level 3 OR Economics NSC Level 3;No;NCV Level 4 with appropriate subjects also accepted. RPL applicable;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Humanities;Bachelor of Arts;N/A;98922;7;Bachelor's Degree;3;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2;Yes — Mathematical Literacy NSC Level 3 accepted;Not required;Not required;Bachelor's Degree endorsement;Geography major requires Geography NSC Level 4;Heritage Studies is a compulsory 1st-year module for all BA students;No;Majors available in: Afrikaans, English, Setswana, History, Heritage Studies, Geography, Mathematics, Sociology. NCV with relevant subjects OR SPU's Higher Certificate in Heritage Studies or Court Interpreting also considered for entry;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;
Faculty of Humanities;Higher Certificate in Heritage Studies;N/A;94804;5;Higher Certificate;1;Kimberley;25;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2;Yes — Mathematical Literacy NSC Level 3 accepted;Not required;Not required;Higher Certificate endorsement (NSC L4);No;Provides pathway to BA and other undergraduate degree programmes;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;;
Faculty of Humanities;Higher Certificate in Court Interpreting;N/A;115460;5;Higher Certificate;1;Kimberley;25;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 2 OR Mathematical Literacy NSC Level 3 (implied);Yes — MathLit likely accepted given HC level;Not required;Not required;Higher Certificate or NCV endorsement;AT LEAST ONE OTHER African language required: HL at NSC Level 4 OR 1st Additional Language at NSC Level 5; Mature age applicants with relevant industry experience may also qualify via Registrar approval;No;Mature age applicants and applicants with Level 4 qualifications may be approved by the University Registrar. RPL applicable. Career includes court interpreting, community, health, government and conference interpreting;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;
Faculty of Natural and Applied Sciences;Bachelor of Science — Mathematical and Computer Sciences;N/A;97908;7;Bachelor's Degree;3;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 4 (Mathematical Literacy NOT accepted);No — Mathematical Literacy NOT accepted;Life Sciences NSC Level 4;Physical Sciences NSC Level 4;Bachelor's Degree endorsement;Maths L4 AND Physical Sciences L4 AND Life Sciences L4 all required;No;BSc is offered in three specialisation streams: Mathematical and Computer Sciences; Biological Sciences; Physical Sciences (Chemistry / Geography / Physics). All three streams share the same minimum entry requirements;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf
Faculty of Natural and Applied Sciences;Bachelor of Science — Biological Sciences;N/A;97908;7;Bachelor's Degree;3;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 4 (Mathematical Literacy NOT accepted);No — Mathematical Literacy NOT accepted;Life Sciences NSC Level 4;Physical Sciences NSC Level 4;Bachelor's Degree endorsement;Maths L4 + Physical Sciences L4 + Life Sciences L4 all required;No;Same SAQA ID as other BSc streams (97908). Three sub-streams under Physical Sciences: Chemistry, Geography, Physics;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Natural and Applied Sciences;Bachelor of Science — Physical Sciences (Chemistry / Geography / Physics);N/A;97908;7;Bachelor's Degree;3;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 4 (Mathematical Literacy NOT accepted);No — Mathematical Literacy NOT accepted;Life Sciences NSC Level 4;Physical Sciences NSC Level 4;Bachelor's Degree endorsement;Maths L4 + Physical Sciences L4 + Life Sciences L4 all required;No;Sub-streams: Chemistry, Geography, Physics. Same minimum entry requirements as other BSc streams;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Natural and Applied Sciences;Bachelor of Science in Data Science;N/A;96105;7;Bachelor's Degree;3;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 5 (Mathematical Literacy NOT accepted);No — Mathematical Literacy NOT accepted;Not required;Not required;Bachelor's Degree endorsement;Maths L5 required — higher maths threshold than general BSc;No;Strong mathematics core degree focused on data science applications. SAQA ID per programme listing: 96105 (body of prospectus shows 97908 — likely a typo;96105 used as per programme table). Careers include: Data Scientist, Data Analyst, Data Architect, Data Engineer;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;
Faculty of Natural and Applied Sciences;Bachelor of Environmental Science;N/A;123429;8;Bachelor's Degree;4;Kimberley;30;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 4 (Mathematical Literacy NOT accepted);No — Mathematical Literacy NOT accepted;Life Sciences NSC Level 4;Physical Sciences NSC Level 4;Bachelor's Degree endorsement;Maths L4 + Physical Sciences L4 + Life Sciences L4 all required;No;NOTE: This is an NQF Level 8 undergraduate qualification (4-year degree) — unusual as most SA undergraduate degrees are NQF Level 7. Longest programme in NAS faculty. Includes core modules: Environmental Management Systems and Remote Sensing and Earth Observation;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Natural and Applied Sciences;Diploma in ICT in Applications Development;N/A;93728;6;Diploma;3;Kimberley;25;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 3;Yes — Mathematical Literacy NSC Level 5 accepted;Not required;Not required;Diploma endorsement; IT or Computer Applications Technology (CAT) at matric level highly recommended;No;MathLit accepted at L5 (higher threshold than Maths L3 route). Progression to Advanced Diploma in ICT Applications Development available. RPL applicable;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;;
Faculty of Natural and Applied Sciences;Advanced Diploma in ICT in Applications Development;N/A;111254;7;Advanced Diploma;1;Kimberley;N/A — postgraduate entry;Proficiency as per prior Diploma;N/A — entry based on prior qualification;N/A;N/A;N/A;Entry requires: 3-year Diploma in Information and Communication Technology NQF Level 6 (or equivalent within the same field);average of at least 60% in third-year exit modules of the NQF Level 6 qualification;No;Builds on Diploma in ICT; focuses on advanced technical skills in Applications Development including Software Engineering and Development Software. RPL applicable;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;
Faculty of Natural and Applied Sciences;Diploma in Agriculture;N/A;120923;6;Diploma;3;Kimberley;25;English HL: NSC Level 4 OR English FAL: NSC Level 5;Mathematics NSC Level 3;Yes — Mathematical Literacy NSC Level 5 accepted;Life Sciences NSC Level 3 OR Agricultural Sciences NSC Level 3;Physical Sciences NSC Level 3;Diploma endorsement;Life Sciences L3 OR Agricultural Sciences L3 required;Physical Sciences L3 required;No;MathLit accepted at L5. Focus on Mixed Farming / dryland/water-stressed region agriculture (Northern Cape context). Careers: agricultural entrepreneur, farm manager, agricultural advisor, agricultural extension officer;https://assets.apply.org.za/u-files/Prospectuses/SPU2026.pdf;