Faculty;Programme;Academic_Plan_Code;Qualification_Type;Duration_Years;Campus;Min_AP;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection;Application_Closing_Date;Special_Notes;Source;;;;;;;;;;;;;;;;;;;;;;;;
APS SYSTEM NOTE;;;;;;;;UFS uses a MODIFIED NSC scale: Level 7 (90-100%) = 8 AP;Level 7 (80-89%) = 7 AP;Levels 1-6 map directly (level = AP points). Life Orientation earns 1 bonus AP point ONLY if achieved at Level 5 (60%) or higher. AP is calculated from 6 academic subjects + LO bonus. Maximum AP = 49. No points awarded for subject achievement below 30%. Selection for all programmes is merit-based from highest AP downward until places are filled — meeting the minimum does not guarantee admission.;;;;;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;Bachelor of Commerce (BCom) General;BC630000;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;Broad BCom; specialisations include Economics, Finance, Marketing, Business Management, HRM; distinct plans for each specialisation;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Economics;BC630020;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Finance;BC630025;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Business and Financial Analytics;BC638080;Bachelor's Degree;3;Bloemfontein;34;Level 4 (50%);Level 5 (60%);No;Not required;Not required;;No;30 September 2025;Higher AP (34) and Maths L5 required — the most demanding of the BCom specialisations;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Marketing;BC630010;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 3 (40%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Business Management;BC630012;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 3 (40%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Human Resource Management;BC630030;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 3 (40%);No;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom (Law);BC637070;Bachelor's Degree;3;Bloemfontein;33;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;Higher AP (33); combines Commerce and Law modules;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;Bachelor of Accounting (BAcc);BC636060;Bachelor's Degree;3;Bloemfontein;34;Level 4 (50%);Level 5 (60%);No;Not required;Not required;;No;30 September 2025;Accredited by SAICA for Chartered Accountant (CA(SA)) pathway;SAICA Level 1 rating (highest available); BAcc + PGDip (CA) or BAcc Honours = CA programme;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom (Accounting);BC635050;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;Aimed at general accountancy professions (AGA(SA), SAIPA, ACCA, CIMA); students wishing to pursue CA(SA) route must complete PGDip (GA) or BComHons (Acc) first;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;Bachelor of Administration (BAdmin);BC634040;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy at Level 5 (60%) accepted as alternative to Mathematics;Not required;Not required;;No;30 September 2025;Very low Maths threshold (L2) or MathLit L5; public sector management focus;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;BCom with specialisation in Management (Qwaqwa);QC630001;Bachelor's Degree;3;Qwaqwa;28;Level 4 (50%);Level 4 (50%);No;Not required;Not required;;No;30 September 2025;Qwaqwa Campus only; same admission requirements as BCom General at Bloemfontein;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Economic and Management Sciences;Bachelor of Administration (BAdmin) (Qwaqwa);QC634040;Bachelor's Degree;3;Qwaqwa;28;Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy at Level 5 (60%) accepted;Not required;Not required;;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Foundation Phase — Afrikaans Home Language specialisation;LC735101;Bachelor's Degree;4;South Campus;30;Level 4 (50%);Not required;Not required;Not required;Not required;Afrikaans Home Language Level 4 (50%) compulsory;No;30 September 2025;South Campus only;trains teachers for Grades R-3 (Foundation Phase); teaching in Afrikaans;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Foundation Phase — Sesotho Home Language specialisation;LC735103 / QC735103;Bachelor's Degree;4;South Campus / Qwaqwa;30;Level 4 (50%) FAL acceptable;Not required;Not required;Not required;Not required;Sesotho Home Language Level 4 (50%) compulsory;No;30 September 2025;South Campus and Qwaqwa Campus; trains Foundation Phase teachers in Sesotho-medium schools;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Foundation Phase — isiZulu Home Language specialisation;QC735105;Bachelor's Degree;4;Qwaqwa;30;Level 4 (50%) FAL acceptable;Not required;Not required;Not required;Not required;isiZulu Home Language Level 4 (50%) compulsory;No;30 September 2025;Qwaqwa Campus only; trains Foundation Phase teachers in isiZulu-medium schools;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Foundation Phase — English Home Language specialisation;LC735106;Bachelor's Degree;4;South Campus;30;Level 4 (50%) Home Language;Not required;Not required;Not required;Not required;Afrikaans at Level 4 (50%) compulsory as additional language requirement;No;30 September 2025;South Campus only; English must be taken as Home Language (not FAL);https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Intermediate Phase — Mathematics, NST and Afrikaans HL;BC735791;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Level 4 (50%);No;Not required;Not required;Afrikaans Home Language Level 4 (50%) compulsory;No;30 September 2025;Teaches Grades 4-6; subjects: Mathematics, Natural Sciences and Technology, Afrikaans;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Intermediate Phase — Life Skills, Social Sciences and Afrikaans HL;BC735784;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;Afrikaans Home Language Level 4 (50%) compulsory;No;30 September 2025;Teaches Grades 4-6; no Maths requirement;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Intermediate Phase — Mathematics, NST and English HL;BC735793;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%) Home Language required;Level 4 (50%);No;Not required;Not required;Afrikaans as First Additional Language at Level 4 (50%) required;No;30 September 2025;English must be Home Language; Afrikaans FAL also required;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Intermediate Phase — Life Skills, Social Sciences and English HL;BC735787;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%) Home Language required;Not required;Not required;Not required;Not required;Afrikaans as First Additional Language at Level 4 (50%) required;No;30 September 2025;English must be Home Language; no Maths requirement;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Intermediate Phase — Mathematics, NST and Sesotho HL;BC735792 / QC735792;Bachelor's Degree;4;Bloemfontein / Qwaqwa;30;Level 4 (50%);Level 4 (50%);No;Not required;Not required;Sesotho Home Language Level 4 (50%) compulsory;No;30 September 2025;Available on both Bloemfontein and Qwaqwa campuses;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Intermediate Phase — Life Skills and Social Sciences and isiZulu HL;QC735788;Bachelor's Degree;4;Qwaqwa;30;Level 4 (50%);Not required;Not required;Not required;Not required;isiZulu Home Language Level 4 (50%) compulsory;No;30 September 2025;Qwaqwa Campus only; no Maths requirement;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Intermediate Phase — Life Skills, Social Sciences and Sesotho HL;BC735782 / QC735782;Bachelor's Degree;4;Bloemfontein / Qwaqwa;30;Level 4 (50%);Not required;Not required;Not required;Not required;Sesotho Home Language Level 4 (50%) compulsory;No;30 September 2025;No Maths requirement;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Intermediate Phase — Mathematics, NST and isiZulu HL;QC735794;Bachelor's Degree;4;Qwaqwa;30;Level 4 (50%);Level 4 (50%);No;Not required;Not required;isiZulu Home Language Level 4 (50%) compulsory;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — Accounting and Business Studies;BC736101;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Level 4 (50%);No;Not required;Not required;Accounting Level 4 (50%) AND Business Studies Level 4 (50%) compulsory;No;30 September 2025;Teaches Grades 7-12 in Accounting and Business Studies;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — EMS and Accounting/Business Studies;BC736104 / QC736104;Bachelor's Degree;4;Bloemfontein / Qwaqwa;30;Level 4 (50%);Level 4 (50%);No;Not required;Not required;Accounting Level 4 (50%);Economics Level 4 (50%);choice between Business Studies OR Economics at Level 4;No;30 September 2025;Available on both campuses;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — Technology and Engineering Graphics and Design;BC736301;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;Engineering Graphics and Design Level 4 (50%) compulsory;No;30 September 2025;No Mathematics requirement;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — Natural Sciences, Maths/Maths and Life Sciences;BC736305 / QC736305;Bachelor's Degree;4;Bloemfontein / Qwaqwa;30;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);All three — Maths L5, Physical Sciences L5, Life Sciences L5 — are compulsory;No;30 September 2025;Highest subject requirements in Education faculty; prepares teachers for Science and Maths in Senior/FET phase;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — Technology and Life Sciences;BC736308;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Not required;Not required;Level 5 (60%);Not required;Life Sciences Level 5 (60%) compulsory; no Maths required;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — Sesotho HL and English FAL;BC736404 / QC736402;Bachelor's Degree;4;Bloemfontein / Qwaqwa;30;Level 4 (50%);Not required;Not required;Not required;Not required;Sesotho Home Language Level 4 (50%) compulsory;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — isiZulu HL and English FAL;QC736403;Bachelor's Degree;4;Qwaqwa;30;Level 4 (50%);Not required;Not required;Not required;Not required;isiZulu Home Language Level 4 (50%) compulsory;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — Mathematics and Physical Sciences;BC736314 / QC736314;Bachelor's Degree;4;Bloemfontein / Qwaqwa;30;Level 4 (50%);Level 5 (60%);No;Not required;Level 5 (60%);Both Maths L5 AND Physical Sciences L5 compulsory;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — Sesotho HL and History;BC736511 / QC736511;Bachelor's Degree;4;Bloemfontein / Qwaqwa;30;Level 4 (50%);Not required;Not required;Not required;Not required;Sesotho Home Language Level 4 (50%) compulsory;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — isiZulu HL and History;QC736512;Bachelor's Degree;4;Qwaqwa;30;Level 4 (50%);Not required;Not required;Not required;Not required;isiZulu Home Language Level 4 (50%) compulsory;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — English and History;BC736519;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;No additional language subject requirement beyond English;No;30 September 2025;Bloemfontein Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — Afrikaans HL and English;BC736521;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;Afrikaans Home Language Level 4 (50%) compulsory;No;30 September 2025;Bloemfontein Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Education;BEd Senior and FET Phase — Geography and Life Sciences;QC736600 / BC736600;Bachelor's Degree;4;Bloemfontein / Qwaqwa;30;Level 4 (50%);Not required;Not required;Level 5 (60%);Not required;Geography Level 5 (60%) AND Life Sciences Level 5 (60%) compulsory;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Health Sciences;Bachelor of Medicine and Bachelor of Surgery (MB ChB);BC834100;Bachelor's Degree (Professional);6;Bloemfontein;36;Level 5 (60%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);English L5 AND Mathematics L5 AND Life Sciences L5 AND Physical Sciences L5 all compulsory;Yes;3 May 2025;Highest AP requirement at UFS (36); programme is SUBJECT TO SELECTION;closing date is 3 May 2025 — much earlier than all other programmes; senior applicants must contact faculty directly; preferred programme MUST be first choice;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;
Health Sciences;Bachelor of Medical Science in Radiation Science (BMedSc);BC831000;Bachelor's Degree;3;Bloemfontein;30;Level 5 (60%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);English L5 AND Maths L5 AND Life Sci L5 AND Phys Sci L5 all required;Yes;3 May 2025;All four core science subjects must be at Level 5;closing date 3 May 2025; subject to selection;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
