Faculty;Programme;Academic_Plan_Code;Qualification_Type;Duration_Years;Campus;Min_APS_with_Maths;Min_APS_with_MathLit;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection;Special_Notes;Source;;;;;;;;
APS SYSTEM NOTE;;;;;;;;UMP uses the standard NSC 7-point scale for APS. IMPORTANT EXCEPTION: Life Orientation (LO) is divided by 2 when calculating APS (unlike most other SA universities where LO earns 0 or a fixed bonus). The seven prescribed NSC subjects are used in calculating APS. If an applicant included more than the minimum three electives in their NSC, the four best electives plus the three compulsories are used. Two campuses: Mbombela Campus (main) and Siyabuswa Campus. Meeting the minimum APS does not guarantee admission — places are limited. Mathematical Literacy IS accepted for most programmes but NOT for BCom General or BICT; specific MathLit APS thresholds apply (typically higher than the Maths APS). Minimum APS values are listed separately for the Maths and MathLit routes where two figures are given.;;;;;;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;;;
Economics Development and Business Sciences;Bachelor of Development Studies;N/A;Bachelor's Degree;3;Mbombela;32;32;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 3 (40%) accepted;Not required;Not required;History OR Geography at Level 4 (50%);AND one Commercial or Social Sciences subject at Level 4 (50%);No;Single APS threshold (32) regardless of whether Maths or MathLit is used;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;
Economics Development and Business Sciences;Bachelor of Arts (General);N/A;Bachelor's Degree;3;Mbombela;28;28;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 3 (40%) accepted;Not required;Not required;No additional subject requirements beyond English and Mathematics/MathLit;No;;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;;
Economics Development and Business Sciences;Bachelor of Laws (LLB);N/A;Bachelor's Degree (Professional);4;Mbombela;33;33;English HL or FAL Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy Level 4 (50%) accepted;Not required;Not required;Bachelor Endorsement required;One additional language at Level 4 (50%);Yes;Monthly selection — applicants who exceed minimum admission requirements and have completed NSC or equivalent receive conditional offers;at least 50% of places reserved for applicants completing NSC or equivalent; each month new applicants considered alongside those already on hold;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;
Economics Development and Business Sciences;Bachelor of Commerce (General) (BCom);N/A;Bachelor's Degree;3;Mbombela;30;N/A — MathLit NOT accepted;English HL or FAL Level 4 (50%);Level 4 (50%) — higher than most programmes;No — Mathematical Literacy explicitly NOT accepted;Not required;Not required;Maths L4 compulsory; MathLit not accepted;No;Mathematical Literacy is explicitly NOT accepted for BCom General — this is a key distinguishing feature;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;
Economics Development and Business Sciences;Bachelor of Administration (BAdmin);N/A;Bachelor's Degree;3;Mbombela;32;32;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 3 (40%) accepted;Not required;Not required;Second Language at Level 4 (50%);Agriculture OR Geography OR Life Science at Level 4 (50%);students wishing to take Economics as elective must have Maths L4 OR MathLit L4;NCV route: NCV Level 4 in Primary Agriculture with ≥50% English (HL or FAL), ≥40% Maths OR ≥70% MathLit;No;Students wishing to register Economics as an elective require Maths L4 OR MathLit L4 — this is an additional in-programme requirement not a general admission one;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;
Economics Development and Business Sciences;Bachelor of Social Work;N/A;Bachelor's Degree (Professional);4;Mbombela;32;32;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 3 (40%) accepted;Not required;Not required;No additional specific subject requirements beyond English and Mathematics/MathLit;No;Four-year professional degree;480 credits;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;;
Economics Development and Business Sciences;Diploma in Hospitality Management;N/A;Diploma;3;Mbombela;24;25;English HL or FAL Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy Level 4 (50%) accepted — 1 AP point higher threshold;Not required;Not required;Diploma Endorsement required; One additional language; Any four other subjects;360 credits;No;Two different minimum APS: 24 with Maths, 25 with MathLit; Diploma Endorsement (not Bachelor) needed;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;
Economics Development and Business Sciences;Higher Certificate in Event Management;N/A;Higher Certificate;1;Mbombela;19;21;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 4 (50%) OR Technical Mathematics Level 4 accepted — higher APS threshold;Not required;Not required;Higher Certificate or Diploma Endorsement;any three additional Vocational Subjects at Level 2;NCV route: NCV Level 4 with recommended subjects: Business Studies, Hospitality Studies and Tourism Discipline;120 credits;No;Lowest APS requirement at UMP (19 with Maths / 21 with MathLit);1-year qualification; Technical Mathematics accepted in place of MathLit;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;
Agriculture and Natural Sciences;Bachelor of Science in Agriculture (BSc Agriculture);N/A;Bachelor's Degree;4;Mbombela;30;30;English HL or FAL Level 4 (50%);Level 4 (50%);Yes — Mathematical Literacy Level 6 (70%) accepted — very high MathLit threshold;Life Sciences OR Biology OR Agriculture at Level 4 (50%);Physical Sciences Level 4 (50%);Any other relevant subjects at Level 4 (50%);480 credits;No;MathLit accepted but at very high Level 6 threshold (70%); Life Sciences/Biology/Agriculture and Physical Sciences both compulsory;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;
Agriculture and Natural Sciences;Bachelor of Science in Forestry (BSc Forestry);N/A;Bachelor's Degree;4;Mbombela;30;N/A;English HL or FAL Level 4 (50%);Level 4 (50%);No — MathLit not listed as accepted for Forestry;Life Science at Level 4 (50%) — two of the three required;Physical Sciences Level 4 (50%) — two of the three required;Bachelor Pass (NSC or IEB) required;two of Life Science, Agricultural Science or Geography at Level 4;498 credits;No;Longest programme in credits (498); NSC or IEB with Bachelor Pass explicitly required; no MathLit provision listed;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;
Agriculture and Natural Sciences;Bachelor of Agriculture in Agricultural Extension and Rural Resource Management;N/A;Bachelor's Degree;3;Mbombela;26;28;English HL or FAL Level 4 (50%);Level 4 (50%);Yes — Mathematical Literacy Level 6 (70%) accepted — very high MathLit threshold;Life Science OR Agriculture at Level 4 (50%);Physical Sciences Level 4 (50%);Life Science or Agriculture L4 AND Physical Sciences L4 both required;360 credits;No;Two APS routes: 26 with Maths vs 28 with MathLit;very high MathLit threshold (L6/70%);https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;
Agriculture and Natural Sciences;Bachelor of Science in Environmental Science;N/A;Bachelor's Degree;3;Mbombela;30;30;English HL or FAL Level 4 (50%);Level 4 (50%);Yes — Mathematical Literacy Level 6 (70%) accepted;Not required separately — see additional subjects;Not required separately — see additional subjects;Two of Life Science, Physical Science and Geography at Level 4 (50%) required; South African students who wrote under another examination board and international students must have similar scores for same or related subjects;students who completed a 360-credit Diploma in an appropriate field (e.g. nature conservation) will also be considered;360 credits;No;Monthly consideration; students meeting or exceeding minimum requirements will be offered places;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;
Agriculture and Natural Sciences;Bachelor of Science Degree (BSc General);N/A;Bachelor's Degree;3;Mbombela;30;30;English HL or FAL Level 4 (50%);Level 4 (50%);Yes — Mathematical Literacy Level 6 (70%) accepted;Not required separately — see additional subjects;Not required separately — see additional subjects;Life Science OR Physical Science OR Geography at Level 4 (50%); South African students who wrote under another board and international students must have similar scores for same or related subjects;students who completed a 360-credit Diploma in an appropriate field will be considered;360 credits;No;Monthly consideration; students meeting or exceeding minimum requirements offered places;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;
Agriculture and Natural Sciences;Diploma in Agriculture: Plant Production;N/A;Diploma;3;Mbombela;23;24;English HL or FAL Level 4 (50%);Level 3 (40%);Yes — MathLit accepted — 1 AP point higher (24 vs 23);Not required;Not required;English L4 and Mathematics L3 are the only stated subject requirements;360 credits;No;Two APS routes: 23 with Maths, 24 with MathLit; straightforward admission requirements;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;;;;
Agriculture and Natural Sciences;Diploma in Animal Production;N/A;Diploma;3;Mbombela;24;27;English HL or FAL Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy Level 6 (70%) accepted — very high MathLit threshold;higher APS route (27);Life Sciences OR Agriculture at Level 4 (50%);Physical Sciences Level 3 (40%);Life Sciences or Agriculture L4;Physical Sciences L3;NCV route: NCV Level 4 in Primary Agriculture with ≥50% English (HL or FAL), ≥40% Mathematics OR ≥70% MathLit;360 credits;No;Large APS gap between Maths route (24) and MathLit route (27);MathLit threshold is also very high (L6);Physical Sciences required at L3;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;
Agriculture and Natural Sciences;Diploma in Nature Conservation;N/A;Diploma;3;Mbombela;30;30;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 3 (40%) accepted;Recommended: Life Sciences Level 4 (50%);Not required;Recommended: Geography Level 4 (50%);NCV route: NCV Level 4 in Primary Agriculture with ≥50% English (HL or FAL), ≥30% Mathematics OR ≥40% MathLit; students also considered on a monthly basis;360 credits;No;Maths only required at L2 (30%); Life Sciences and Geography are RECOMMENDED (not compulsory);360-credit Diploma holders in appropriate conservation fields may also apply for the BSc Environmental Science or BSc degree;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;
ICT and Computer Science;Bachelor of ICT (BICT);N/A;Bachelor's Degree;3;Mbombela;32;N/A — MathLit NOT accepted;English HL or FAL Level 4 (50%);Level 4 (50%);No — Mathematical Literacy NOT accepted;Not required;Not required;Bachelor Endorsement required;NCV route: NCV Level 4 in fundamental subjects with ≥60% English, ≥60% Mathematics, and ≥70% in four vocational subjects relevant to the field of Information Technology; students with a Higher Certificate or Diploma in a relevant ICT course may in some cases articulate or progress into the BICT;360 credits;No;Mathematical Literacy NOT accepted — same exclusion as BCom; Bachelor Endorsement required; NCV applicants need strong results across fundamentals and vocational subjects;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;
ICT and Computer Science;Diploma in ICT: Applications Development;N/A;Diploma;3;Mbombela;24;24;English HL or FAL Level 4 (50%);Level 4 (50%);No — Mathematics L4 required; no MathLit provision listed for this programme;Not required;Not required;Diploma Endorsement required; one Additional Language; any four other Modules;360 credits;No;Maths L4 required (same as BICT) despite being a Diploma, not a Bachelor; no MathLit accepted;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;
ICT and Computer Science;Higher Certificate in ICT User Support;N/A;Higher Certificate;1;Mbombela;20;22;English HL or FAL Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy Level 4 (50%) accepted — 2 APS point higher threshold;Not required;Not required;Diploma or Higher Certificate Endorsement;any three other Content Subjects at Level 2;NCV route: must have completed NCV Level 4 in Information Technology and/or Computer Studies/Science Discipline;120 credits;No;Two APS routes: 20 with Maths, 22 with MathLit;1-year qualification; lowest ICT entry route;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf;;;
Education;Bachelor of Education in Foundation Phase Teaching (BEd FP);N/A;Bachelor's Degree;4;Mbombela and Siyabuswa;26;27;English HL or FAL Level 4 (50%);Not stated separately — included in 7-subject APS calculation;Yes — APS of 27 applies when Mathematical Literacy is used;Not required;Not required;The seven prescribed NSC subjects are used in APS calculation;Life Orientation is divided by 2 in the APS calculation; if more than three electives are in the NSC, the four best electives plus the three compulsories are used;Preliminary admission based on Grade 11 final results;Final admission based on final Grade 12 results;480 credits;No;Two campuses: Mbombela and Siyabuswa;unique LO treatment — LO divided by 2 (UMP policy); preliminary vs final admission process is explicitly two-stage; only undergraduate Education programme listed;https://assets.apply.org.za/u-files/Prospectuses/UMP2024.pdf