Faculty;Programme;Qual_Code;Qualification_Type;NQF_Level;Duration_Years;Campus;Min_APS_Main;Min_APS_ECP;English_Requirement_Main;Mathematics_Requirement_Main;MathLit_Accepted_Main;Physical_Sciences_Requirement;Life_Sciences_Requirement;Additional_Subject_Requirements;ECP_Available;ECP_Subject_Requirement_Notes;Additional_Notes;Source;;;;;;;;;;;
IMPORTANT NOTE - WSU APS SYSTEM;;;;;;;;;;;;;;;;;;;;WSU uses its own APS conversion table (NOT the standard NSC 7-point scale). APS is the sum of the best SIX subjects excluding Life Orientation. Percentage marks are converted: 90-100%=8pts;80-89%=7pts;70-79%=6pts;60-69%=5pts;50-59%=4pts;40-49%=3pts;30-39%=2pts;0-29%=1pt. Note that 7 and 8 are BOTH at NSC Level 7 (distinguished);max possible APS is 48.;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf
Economic & Financial Sciences;Diploma in Accountancy;W63001;Diploma;6;3;Mthatha;21;N/A;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%);No - Maths explicitly required;Not required;Not required;Any two additional subjects L3 (40-49%);No;;SAICA foundational pathway; prepares for accounting technician or CIMA route;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Economic & Financial Sciences;Diploma in Financial Information Systems;W63002;Diploma;6;3;Mthatha;21;N/A;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%);No - Maths explicitly required;Not required;Not required;Any two additional subjects L3 (40-49%);No;;Covers accounting, taxation, auditing and management accounting in information systems context;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Economic & Financial Sciences;Diploma in Internal Auditing;W63004 / W63005;Diploma;6;3 (main) / 4 (ECP);Mthatha;21;20;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%) OR Accounting L3 (40-49%);Yes - MathLit L5 (60-69%) for main stream;MathLit L4 (50-59%) for ECP;Not required;Not required;No additional subject requirements;Yes;ECP: same subjects but MathLit threshold drops from L5 to L4;APS drops from 21 to 20;Pathway to internal auditing profession; covers financial and operational audit functions;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Economic & Financial Sciences;Bachelor of Accounting;W63008;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Not required;Not required;No additional subject requirements specified;No;;Prepares graduates with financial, analytical and managerial skills for commerce and industry;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Economic & Financial Sciences;Bachelor of Accounting Sciences;W63009;Bachelor's Degree;7;4;Mthatha;27;N/A;English HL or FAL L5 (60-69%) - higher than standard;Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Not required;Not required;No additional subject requirements specified;No;;SAICA-accredited CA(SA) pathway programme; prepares students for CTA (Certificate in Theory of Accounting);4-year degree;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;
Economic & Financial Sciences;Bachelor of Commerce;W63010;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L5 (60-69%) accepted;Not required;Not required;No additional subject requirements specified;No;;General BCom covering fundamental principles and practices of commerce;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Economic & Financial Sciences;Bachelor of Commerce in Business Management;W63011;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L5 (60-69%) accepted;Not required;Not required;No additional subject requirements specified;No;;Develops logical and critical thinking for business decision-making; emphasis on problem-solving and information analysis;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Economic & Financial Sciences;Bachelor of Commerce in Economics;W63012;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - but MathLit requires L6 (70-79%) - higher threshold than other BComs;Not required;Not required;No additional subject requirements specified;No;;MathLit threshold is L6 (70-79%) - stricter than other BComs which accept L5; covers micro and macro economics;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Education;BEd in Foundation Phase Teaching;W62006;Bachelor's Degree;7;4;Mthatha / Komani;24;N/A;IsiXhosa HL L4 (50-59%) AND English FAL L4 (50-59%) - both required;Mathematics L2 (30-39%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;Life Orientation L5 (60-69%) compulsory as major subject;any other two subjects totalling 8 APS points;No;;Teaches Grades R-3; Life Orientation is a teaching subject (major) so LO IS included in APS calculation for this programme only; Funza Lushaka eligible;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Education;BEd SP&FET Teaching - Creative Arts (History);W62007;Bachelor's Degree;7;4;Mthatha;24;N/A;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any other African Language L4;History L4 (compulsory);Music or Dance Studies or Dramatic Arts or Visual Arts L4 (compulsory);any other three subjects totalling 8 APS points;No;N/A;Applicants without Music at matric must sit a Music Aptitude Test;teaches Senior Phase and FET (Grades 7-12);https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;
Education;BEd SP&FET Teaching - Creative Arts (English);W62019;Bachelor's Degree;7;4;Mthatha;24;N/A;English HL or FAL L5 (60-69%) - higher than standard;Not required;Yes;Not required;Not required;Any other African Language L4;Music or Dance Studies or Dramatic Arts or Visual Arts L4 (compulsory);any other subject L4;any other three subjects totalling 7 APS points;No;N/A;Applicants without Music at matric must sit a Music Aptitude Test;higher English requirement (L5) distinguishes this from Creative Arts History stream;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;
Education;BEd SP&FET Teaching - Consumer & Management Science;W62008;Bachelor's Degree;7;4;Mthatha;24;N/A;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any other African Language L4;ONE of: Consumer Studies L4 / Hospitality L4 / Tourism L4 (compulsory);any other two subjects totalling 10 APS points;No;N/A;Teaches Grades 7-12 with specialisation in Consumer and Management Sciences;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;
Education;BEd SP&FET Teaching - Economic & Management Science;W62009;Bachelor's Degree;7;4;Mthatha / Komani;24;N/A;English HL or FAL L4 (50-59%);Mathematics L2 (30-39%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;Any other African Language L4;TWO of: Accounting / Business Studies / Economics at L4;any other two subjects totalling 6 APS points;No;N/A;Funza Lushaka eligible;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;
Education;BEd SP&FET Teaching - Humanities;W62010;Bachelor's Degree;7;4;Mthatha / Komani;24;N/A;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any other African Language L4;History L4 (compulsory);Geography L4 (compulsory);any other three subjects totalling 8 APS points;No;N/A;Funza Lushaka eligible;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Education;BEd SP&FET Teaching - Languages;W62011;Bachelor's Degree;7;4;Mthatha / Komani;24;N/A;English HL or FAL L5 (60-69%) - higher than standard;Not required;Yes;Not required;Not required;IsiXhosa HL or FAL L4 (50-59%) compulsory;any two other subjects at L4;any other three subjects totalling 7 APS points;No;N/A;Higher English requirement (L5); bilingual competence essential; Funza Lushaka eligible;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;
Education;BEd SP&FET Teaching - Mathematics, Science & Technology;W62012;Bachelor's Degree;7;4;Mthatha / Komani;24;N/A;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;ONE of Life Sciences L4 OR Physical Sciences L4 (compulsory);ONE of Life Sciences L4 OR Physical Sciences L4 (compulsory);Any other African Language L4;any other two subjects totalling 8 APS points;No;N/A;MathLit not accepted - pure Maths required;either Life Sciences or Physical Sciences must be at L4; Funza Lushaka eligible;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Education;BEd SP&FET Teaching - Technical and Vocational Education;W62018;Bachelor's Degree;7;4;Mthatha;24;N/A;English HL or FAL L4 (50-59%);Technical Mathematics L4 accepted as alternative;Yes - Technical Mathematics L4 accepted;Technical Sciences L4 or Physical Sciences L4 accepted;Not required;Any other African Language L4;TWO technical subjects at L4 from: Technical Mathematics / Technical Sciences / Engineering Graphics & Design / Civil Technology / Electrical Technology / Mechanical Technology / Mathematics / Physical Sciences;any two additional subjects totalling 8 APS points;No;N/A;Designed for TVET college sector teaching; wide range of technical subjects accepted;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Engineering, Built Environment & IT;Diploma in Building Technology;W60001 / W60002;Diploma;6;3 (main) / 4 (ECP);Buffalo City / Butterworth;24;22;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%);No - but Technical Mathematics L5 (60-69%) accepted as alternative to Maths;Physical Sciences L3 (40-49%) OR Technical Sciences L4 (50-59%);Not required;No additional subject requirements;Yes;ECP: applicant may have ONE of the three key subjects (English / Maths or Tech Maths / Physical or Tech Science) at one level below the main-stream requirement;Quantity Surveying and Construction Management track; ECSA pathway for engineering technicians;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Engineering, Built Environment & IT;Diploma in Civil Engineering;W60003 / W60004;Diploma;6;3 (main) / 4 (ECP);Buffalo City / Butterworth;24;22;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Physical Sciences L4 (50-59%) - compulsory;Not required;No additional subject requirements;Yes;ECP: applicant may have ONE of three key subjects (English / Maths / Physical Sciences) at one level below main-stream;Leads to ECSA registration as Candidate Engineering Technician;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Engineering, Built Environment & IT;Diploma in Electrical Engineering;W60005 / W60006;Diploma;6;3 (main) / 4 (ECP);Buffalo City;24;22;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Physical Sciences L4 (50-59%) - compulsory;Not required;No additional subject requirements;Yes;ECP: applicant may have ONE of three key subjects (English / Maths / Physical Sciences) at one level below main-stream;Leads to ECSA registration as Candidate Engineering Technician;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Engineering, Built Environment & IT;Diploma in Mechanical Engineering;W60007 / W60008;Diploma;6;3 (main) / 4 (ECP);Buffalo City;24;22;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) OR Technical Mathematics L4 (50-59%);No - Maths or Tech Maths at L4 required;Physical Sciences L4 (50-59%) OR Technical Sciences L4 (50-59%);Not required;No additional subject requirements;Yes;ECP: applicant may have ONE of three key subjects at one level below main-stream;Leads to ECSA registration as Candidate Engineering Technician;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Engineering, Built Environment & IT;Diploma in ICT - Applications Development;W60009 / W60010;Diploma;6;3 (main) / 4 (ECP);Buffalo City;22 with Maths / 24 with MathLit;18 with Maths / 20 with MathLit;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L5 (60-69%) accepted (raises APS threshold by 2 points);Not required;Not required;No additional subject requirements;Yes;ECP: applicant may have ONE of two key subjects (English / Maths or MathLit) at one level below main-stream;APS threshold is lower with Maths (22) than with MathLit (24) reflecting maths background advantage;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Engineering, Built Environment & IT;Diploma in ICT - Business Analysis;W60011 / W60012;Diploma;6;3 (main) / 4 (ECP);Buffalo City;22 with Maths / 24 with MathLit;18 with Maths / 20 with MathLit;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L5 (60-69%) accepted (raises APS threshold by 2 points);Not required;Not required;No additional subject requirements;Yes;ECP: applicant may have ONE of two key subjects (English / Maths or MathLit) at one level below main-stream;Focuses on ICT solutions for business process alignment; pathway to systems analysis;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Engineering, Built Environment & IT;Diploma in ICT - Communication Networks;W60013 / W60014;Diploma;6;3 (main) / 4 (ECP);Buffalo City;22 with Maths / 24 with MathLit;18 with Maths / 20 with MathLit;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L5 (60-69%) accepted (raises APS threshold by 2 points);Not required;Not required;No additional subject requirements;Yes;ECP: applicant may have ONE of two key subjects (English / Maths or MathLit) at one level below main-stream;Aligned with industry certification in computer networking; internationally recognised; pathway to network engineering;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;
Engineering, Built Environment & IT;Diploma in ICT - Support Services;W60015 / W60016;Diploma;6;3 (main) / 4 (ECP);Buffalo City;22 with Maths / 24 with MathLit;18 with Maths / 20 with MathLit;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L5 (60-69%) accepted (raises APS threshold by 2 points);Not required;Not required;No additional subject requirements;Yes;ECP: applicant may have ONE of two key subjects (English / Maths or MathLit) at one level below main-stream;Aligned with ITSM and IT governance certifications; covers IT support, call centres and ICT solutions;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Law, Humanities & Social Sciences;Diploma in Fashion;W66001;Diploma;6;3;Buffalo City;19;N/A;English HL or FAL L4 (50-59%);Mathematics L2 (30-39%);Yes - MathLit L3 (40-49%) accepted;Accounting L2 (30-39%) also accepted as alternative;Not required;Not required;No additional subject requirements beyond English + one numeracy subject;No;;Evaluation required to confirm final placement; portfolio-based; fashion designing and manufacturing skills;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Law, Humanities & Social Sciences;Diploma in Fine Art;W66002;Diploma;6;3;Buffalo City;19;N/A;English HL or FAL L3 (40-49%);Not required;Yes;Not required;Not required;No additional subject requirements;No;;In exceptional cases talented artists with L2 English may be admitted via portfolio and internal assessment/interview; evaluation required for all;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Arts;W66004;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any two subjects at L4 from: IsiXhosa L4 / Sesotho L4 / Geography L4 / History L4 (subject list is not exhaustive - check faculty);No;;3-year general degree with majors in various humanities disciplines; prepares for Honours specialisation;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Arts (English specialisation);W66029;Bachelor's Degree;7;3;Mthatha;25;N/A;English HL or FAL L5 (60-69%) - higher than standard BA;Not required;Yes;Not required;Not required;ONE other subject at L4 from: IsiXhosa / Sesotho / Geography / History;No;;Dedicated English specialisation stream;higher English requirement (L5) compared to general BA;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Social Science (Anthropology);W66007 / W66008;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;24;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any four subjects at L4 (50-59%);Yes;ECP: English drops to L3 (40-49%);four subjects still at L4;APS drops from 25 to 24;Multidisciplinary social sciences qualification; character reference checks conducted;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Social Science (Criminology);W66009 / W66010;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;24;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any four subjects at L4 (50-59%);Yes;ECP: English drops to L3;APS drops from 25 to 24;Career paths include government departments: Correctional Services, SAPS, Justice; character reference checks conducted;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Social Science (Philosophy);W66011 / W66012;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;24;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any four subjects at L4 (50-59%);Yes;ECP: English drops to L3;APS drops from 25 to 24;;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Social Science (Political Studies);W66013 / W66014;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;24;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any four subjects at L4 (50-59%);Yes;ECP: English drops to L3;APS drops from 25 to 24;;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Social Science (Population Studies);W66015 / W66016;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;24;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any four subjects at L4 (50-59%);Yes;ECP: English drops to L3;APS drops from 25 to 24;;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Social Science (Psychology);W66017 / W66018;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;24;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any four subjects at L4 (50-59%);Yes;ECP: English drops to L3;APS drops from 25 to 24;;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Social Science (Sociology);W66019 / W66020;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;24;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any four subjects at L4 (50-59%);Yes;ECP: English drops to L3;APS drops from 25 to 24;;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
