Faculty;Programme;Qual_Code;Qualification_Type;NQF_Level;Duration_Years;Campus;Min_APS_Main;Min_APS_ECP;English_Requirement_Main;Mathematics_Requirement_Main;MathLit_Accepted_Main;Physical_Sciences_Requirement;Life_Sciences_Requirement;Additional_Subject_Requirements;ECP_Available;ECP_Subject_Requirement_Notes;Additional_Notes;Source;;;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Laws (LLB);W66021;Bachelor's Degree (Professional);8;4;Mthatha;26;N/A;English HL or FAL L5 (60-69%) - higher requirement;Mathematics L3 (40-49%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;No additional subject requirements;No;;Prepares for legal practice as attorney, advocate, prosecutor, magistrate, legal advisor;MathLit threshold is L4 (not L5);https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Psychology;W66022;Bachelor's Degree (Professional);8;4;Mthatha;26;N/A;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Life Sciences L4 (50-59%) accepted as alternative to African language;Any other African Language L4 OR Life Sciences L4 (either one satisfies second subject requirement);No;;Character reference checks conducted for all admitted students; negative check may lead to deregistration;4-year professional degree;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;
Law, Humanities & Social Sciences;Bachelor of Social Work;W66023;Bachelor's Degree (Professional);8;4;Mthatha;26;N/A;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Life Sciences L4 (50-59%) accepted as one of the subject requirements;Any other African Language L5 (60-69%) OR Life Sciences L4;PLUS any other THREE subjects not on the above list (excluding LO) at L4;No;;Character reference checks conducted; negative check may lead to deregistration; professional social work qualification;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Management & Public Administration Sciences;Higher Certificate in Versatile Broadcasting;W61001;Higher Certificate;5;1;Buffalo City;18;N/A;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any other language L3 (40-49%);any two additional subjects L3 (40-49%);No;;1-year qualification covering journalism, radio, TV, film and digital media;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Management & Public Administration Sciences;Diploma in Administrative Management;W61002;Diploma;6;3;Butterworth;21;N/A;English HL or FAL L4 (50-59%);Mathematics L2 (30-39%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;Any two additional subjects L4 (50-59%);No;;Covers management, administrative, financial and communication skills;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Management & Public Administration Sciences;Diploma in Hospitality Management;W61003;Diploma;6;3;Butterworth;21;N/A;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;Any three relevant school subjects L3 (40-49%);No;;Prepares graduates for hotels, lodges, restaurants and food service institutions;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Management & Public Administration Sciences;Diploma in Human Resources Management;W61004 / W61005;Diploma;6;3 (main) / 4 (ECP);Butterworth / Komani;21;20;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%);Yes - MathLit L4 (50-59%) for main stream;MathLit L3 (40-49%) for ECP;Not required;Not required;Any two school subjects L3 (40-49%);Yes;ECP: English L3 remains same;Maths drops to L2 (30-39%);MathLit drops to L3;APS drops from 21 to 20;Covers HR practice, employee relations, performance management and labour legislation;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;
Management & Public Administration Sciences;Diploma in Journalism;W61006;Diploma;6;3;Buffalo City;21;N/A;English HL or FAL L5 (60-69%) - higher than standard;Not required;Yes;Not required;Not required;Any other language L4 (50-59%);any two additional subjects L4 (50-59%);No;;Higher English requirement (L5); students use state-of-the-art equipment (cameras, computers); covers print, electronic and social media;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Management & Public Administration Sciences;Diploma in Local Government Finance;W61007 / W61008;Diploma;6;3 (main) / 4 (ECP);Butterworth / Komani;21;20;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%) OR Accounting L3 (40-49%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;No additional subject requirements beyond English + one numeracy/accounting subject;Yes;ECP: Maths drops to L2 (30-39%);Accounting drops to L2;MathLit drops to L3;APS drops from 21 to 20;Municipal finance specialist programme; career pathways in municipal accounting, auditing and financial analysis;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;
Management & Public Administration Sciences;Diploma in Management;W61009 / W61010;Diploma;6;3 (main) / 4 (ECP);Butterworth;21;20;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%);Yes - MathLit L4 (50-59%) accepted for main;MathLit L3 for ECP;Not required;Not required;Accounting L3 (40-49%) compulsory;Yes;ECP: Maths drops to L2;Accounting drops to L2;MathLit drops to L3;APS drops from 21 to 20;Accounting is compulsory alongside Maths/MathLit; prepares management practitioners;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;
Management & Public Administration Sciences;Diploma in Marketing Management;W61011;Diploma;6;3;Butterworth;21;N/A;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;Any other two subjects L3 (40-49%);No;;Covers digital marketing, brand management, customer development and market expansion;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;;
Management & Public Administration Sciences;Diploma in Policing;W61012;Diploma;6;3;Butterworth;21;N/A;English HL or FAL L3 (40-49%);Not required;Yes;Not required;Not required;Any other four subjects L3 (40-49%);No;;No Maths requirement; prepares graduates for law enforcement and community policing;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Management & Public Administration Sciences;Diploma in Office Management & Technology;W61013 / W61014;Diploma;6;3 (main) / 4 (ECP);Butterworth;21;19;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L4 (50-59%) for main;MathLit L3 for ECP;Not required;Not required;Any two additional subjects L4 (50-59%);Yes;ECP: English drops to L3;Maths drops to L2;MathLit drops to L3;other subjects drop to L3;APS drops from 21 to 19;Covers administration, financial management, HR, legal practice and ICT skills;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;
Management & Public Administration Sciences;Diploma in Public Management;W61015;Diploma;6;3;Butterworth / Komani;21;N/A;English HL or FAL L3 (40-49%);Not required;Yes;Not required;Not required;Any other four subjects L3 (40-49%);No;;No Maths requirement; prepares graduates to support public sector strategic leadership across all spheres of government;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Management & Public Administration Sciences;Diploma in Public Relations Management;W61016 / W61017;Diploma;6;3 (main) / 4 (ECP);Butterworth;21;19;English HL or FAL L5 (60-69%) - higher than standard;Not required;Yes;Not required;Not required;Any other language L4 (50-59%);any other two subjects L4 (50-59%);Yes;ECP: English drops to L4;other language drops to L3;other subjects drop to L3;APS drops from 21 to 19;Higher English requirement (L5); covers corporate image, crisis communication, media relations and CSI;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;
Management & Public Administration Sciences;Diploma in Small Business Management;W61018;Diploma;6;3;Butterworth;21;N/A;English HL or FAL L3 (40-49%);Mathematics L3 (40-49%) OR Accounting L3 (40-49%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;Any other two subjects L3 (40-49%);No;;Prepares graduates to start and manage SMMEs; entrepreneurship focus;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Management & Public Administration Sciences;Diploma in Sport Management;W61019;Diploma;6;3;Butterworth;21;N/A;English HL or FAL L3 (40-49%);Not required;Yes;Not required;Not required;Any other three subjects L3 (40-49%);No;;No Maths requirement; covers fitness, health, coaching, teaching and retailing sectors of sport;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Management & Public Administration Sciences;Diploma in Tourism Management;W61020;Diploma;6;3;Butterworth;21;N/A;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%);Yes - MathLit L4 (50-59%) accepted;Not required;Not required;Any three relevant school subjects L3 (40-49%);No;;Covers tourism and leisure industries; value chain management; entrepreneurship opportunities;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;
Management & Public Administration Sciences;Bachelor of Administration;W61029;Bachelor's Degree;7;3;Butterworth;25;N/A;English HL or FAL L4 (50-59%);Not required;Yes;Not required;Not required;Any other four subjects L4 (50-59%);No;;Prepares graduates to direct and manage public sector institutional structures; pathway to postgraduate studies; leadership focus;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;
Medicine & Health Sciences;Bachelor of Medical Sciences;W65001;Bachelor's Degree;7;3;Mthatha;24;N/A;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Physical Sciences L4 (50-59%) - compulsory;Life Sciences L4 (50-59%) - compulsory;Any other African Language L4;one additional subject not on above list (excluding LO) at L4;No;;Additional selection criteria apply beyond APS;streams from Year 2: Physiology or Biochemistry; first year shared with Natural Sciences;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Medicine & Health Sciences;Bachelor of Medicine in Clinical Practice;W65002;Bachelor's Degree;7;3;Mthatha;24;N/A;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Physical Sciences L4 (50-59%) - compulsory;Life Sciences L4 (50-59%) - compulsory;Any other African Language L4;one additional subject not on above list (excluding LO) at L4;No;;Trains Clinical Associates (CA) to assist district hospital doctors;3-year professional degree; additional selection criteria apply;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Medicine & Health Sciences;Bachelor of Nursing;W65004;Bachelor's Degree;8;4;Mthatha;24;N/A;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Physical Sciences L4 (50-59%) - compulsory;Life Sciences L4 (50-59%) - compulsory;Any other African Language L4;one additional subject not on above list (excluding LO) at L4;No;;4-year professional nursing degree; includes obstetric skills, mental health and PHC; additional selection criteria apply;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Medicine & Health Sciences;Bachelor of Health Sciences in Medical Orthotics and Prosthetics;W65005;Bachelor's Degree;8;4;Mthatha;24;N/A;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) - compulsory;No - Maths is compulsory;Physical Sciences L4 (50-59%) - compulsory;Life Sciences L4 (50-59%) - compulsory;Any other African Language L4;one additional subject not on above list (excluding LO) at L4;No;;Unique qualification training orthotists and prosthetists; covers limb replacement and support; additional selection criteria apply;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Medicine & Health Sciences;Bachelor of Medicine and Bachelor of Surgery (MBChB);W65006;Bachelor's Degree (Professional);8;6;Mthatha;30;N/A;English HL or FAL L5 (60-69%) - higher requirement;Mathematics L5 (60-69%) - compulsory and at higher level;No - Maths is compulsory;Physical Sciences L5 (60-69%) - compulsory and at higher level;Life Sciences L5 (60-69%) - compulsory and at higher level;Any other African Language L5;one additional subject not on above list (excluding LO) at L5;No;;ALL six subjects must be at L5 (60-69%) or higher;6-year medical degree; problem-based learning and community-based approach;WSU has offered MBChB since 1992; additional selection criteria apply;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;
Natural Sciences;Diploma in Analytical Chemistry;W64001 / W64002;Diploma;6;3 (main) / 4 (ECP);Buffalo City;22;20;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%) - compulsory;No - Maths is compulsory;Physical Sciences L4 (50-59%) - compulsory;Not required;No additional subject requirements;Yes;ECP: English drops to L3 (40-49%);Maths remains L3;Physical Sciences remains L4;APS drops from 22 to 20;Chemical and chemical-allied industries focus; pathway to Advanced Diploma and MSc;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;
Natural Sciences;Diploma in Consumer Sciences in Food and Nutrition;W64004 / W64039;Diploma;6;3 (main) / 4 (ECP);Buffalo City;22;20;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%) - compulsory;No - Maths is compulsory;Physical Sciences L4 (50-59%) main / L3 (40-49%) ECP;Not required;No additional subject requirements;Yes;ECP: Physical Sciences threshold drops from L4 to L3; English and Maths remain at same levels;APS drops from 22 to 20;Food scientists and nutritionists; product development, quality control, food service management;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Natural Sciences;Diploma in Pest Management;W64005;Diploma;6;3;Mthatha;21;N/A;English HL or FAL L4 (50-59%);Mathematics L3 (40-49%) - compulsory;No - Maths is compulsory;Physical Sciences L3 (40-49%);Life Sciences L3 (40-49%) - compulsory;No additional subject requirements;No;;Note: Physical Sciences listed as L3 (30-39%) in PDF - this may be a typo and likely means L3 (40-49%); agricultural pest diagnosis and control;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;;;
Natural Sciences;BSc in Applied Mathematics;W64007 / W64008;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;23;English HL or FAL L4 (50-59%);Mathematics L5 (60-69%) for main stream;No - Maths is compulsory;Physical Sciences L4 (50-59%) main / L3 (40-49%) ECP;Not required;No additional subject requirements;Yes;ECP: Maths drops from L5 to L4;Physical Sciences drops from L4 to L3;English remains L4;APS drops from 25 to 23;Higher Maths threshold (L5) for main stream; applied focus for technical problem-solving;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;
Natural Sciences;BSc in Applied Statistical Sciences;W64009 / W64010;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;23;English HL or FAL L4 (50-59%);Mathematics L5 (60-69%) for main stream;No - Maths is compulsory;Physical Sciences L4 (50-59%) main / L3 (40-49%) ECP;Not required;No additional subject requirements;Yes;ECP: Maths drops from L5 to L4;Physical Sciences drops from L4 to L3;APS drops from 25 to 23;Applied statistics with Maths, Computer Science and Stats; strong data science career pathways;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Natural Sciences;BSc in Biological Sciences;W64011 / W64012;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;23;English HL or FAL L4 (50-59%);Mathematics L5 (60-69%) for main stream;No - Maths is compulsory;Physical Sciences L5 (60-69%) for main stream;Life Sciences L5 (60-69%) for main stream - compulsory;No additional subject requirements;Yes;ECP: TWO of the three majors (Maths / Physical Sciences / Life Sciences) may be at L3;third must be at L4;APS drops from 25 to 23;All three majors required at L5 for main stream; covers botany, zoology, microbiology, biochemistry, ecology;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Natural Sciences;BSc in Chemistry;W64013 / W64014;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;23;English HL or FAL L4 (50-59%);Mathematics L5 (60-69%) for main stream;No - Maths is compulsory;Physical Sciences L5 (60-69%) for main stream;Not required;No additional subject requirements;Yes;ECP: Maths drops from L5 to L4;Physical Sciences drops from L5 to L4;APS drops from 25 to 23;Strong Physical Sciences requirement (L5 for main);graduates also take additional Maths courses to L2;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Natural Sciences;BSc in Computer Science;W64015 / W64016;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;23;English HL or FAL L4 (50-59%);Mathematics L5 (60-69%) for main stream;No - Maths is compulsory;Physical Sciences L4 (50-59%) for main stream;Not required;No additional subject requirements;Yes;ECP: Maths drops from L5 to L4;Physical Sciences drops from L4 to L3;APS drops from 25 to 23;Physical Sciences at L4 (not L5) distinguishes CS from Chemistry/Physics; covers algorithms, AI, software development;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Natural Sciences;BSc in Environmental Studies;W64017 / W64018;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;23;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) for main stream (lower than other BScs);No - Maths is compulsory;Physical Sciences L4 (50-59%);Life Sciences L4 (50-59%) OR Agriculture L4 OR Tourism L4;No additional subject requirements;Yes;ECP: TWO of the three majors (Maths / Physical Sciences / Life Sciences) may be at L3;third at L4;APS drops from 25 to 23;Lower Maths threshold (L4) than most other BScs; Agriculture and Tourism accepted as Life Sciences alternative;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Natural Sciences;BSc in Mathematics;W64019 / W64020;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;23;English HL or FAL L4 (50-59%);Mathematics L5 (60-69%) for main stream;No - Maths is compulsory;Physical Sciences L4 (50-59%) main / L3 (40-49%) ECP;Not required;No additional subject requirements;Yes;ECP: Maths drops from L5 to L4;Physical Sciences drops from L4 to L3;APS drops from 25 to 23;Theoretical and applied mathematics; strong placement opportunities in quantitative careers;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;
Natural Sciences;BSc in Pest Management;W64021 / W64022;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;23;English HL or FAL L4 (50-59%);Mathematics L4 (50-59%) for main stream (lower than most BScs);No - Maths is compulsory;Physical Sciences L4 (50-59%);Life Sciences L4 (50-59%) - compulsory;No additional subject requirements;Yes;ECP: TWO of three majors (Maths / Physical Sciences / Life Sciences) may be at L3;third at L4;APS drops from 25 to 23;Maths threshold at L4 not L5; all three sciences compulsory; unique degree in applied entomology and pest control;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;
Natural Sciences;BSc in Physics;W64023 / W64024;Bachelor's Degree;7;3 (main) / 4 (ECP);Mthatha;25;23;English HL or FAL L4 (50-59%);Mathematics L5 (60-69%) for main stream;No - Maths is compulsory;Physical Sciences L5 (60-69%) for main stream;Not required;No additional subject requirements;Yes;ECP: Maths drops from L5 to L4;Physical Sciences drops from L5 to L4;APS drops from 25 to 23;Both Maths and Physical Sciences at L5 for main stream; covers mechanics, electromagnetism, quantum mechanics, thermodynamics;https://www.wsu.ac.za/~wsuacza/media/attachments/2025/06/10/wsu-2026-undergraduate-admission-requirements.pdf;;;;;;;;